kol_id,influence_potential_score,rank
80103ddf-0798-4fca-a86f-836fd5f71580,3.8564416383372797,2001
d824c59c-93a1-4d84-8d0b-c38927219450,3.856124022123745,2002
8cf428a9-572f-4477-a282-ee4e714b445c,3.8558299189046052,2003
747620d1-7c30-4bd0-ba3f-9c4e12bebd82,3.8557056426050975,2004
5e8c32de-f129-4dea-a738-6d8d0581d55b,3.855525496292526,2005
a1e03ada-c5a7-4215-8125-f8157b5519f3,3.8551427951106136,2006
190c00ce-c229-4b7e-a29b-8fe294614a11,3.854824631845335,2007
bdac1988-825c-4253-b25d-61020347effc,3.8547981180279858,2008
5c615557-30fa-4602-9505-08bbf0005653,3.854517519628984,2009
ded683c9-bf89-4a74-b651-a96bde8bd6d8,3.85434052118605,2010
629335b7-9deb-40ff-93b0-5662ea86c21a,3.8542264512598874,2011
ea08ce40-3cb2-494d-a22d-d7e2f0ff70f8,3.854146913740299,2012
fa89f9c2-54e2-43f4-93ce-245d6b573b77,3.8534423813635676,2013
aa3b7992-9667-41c8-893b-35a0079e4149,3.853407599746173,2014
5b7a66b1-2d7b-4b7e-af3f-14290e2fef4f,3.8532015316024517,2015
1a71514b-5f25-4baf-95f7-35659fc37b23,3.852837367854234,2016
1254167c-d932-40f8-b283-85cedf75f4a4,3.8524839815116856,2017
ca4546ef-b247-4ab8-a013-40436f00a78d,3.8522141769095475,2018
69d6ac51-9e3e-4b99-bdc0-bc4a5d4051ea,3.851791376885589,2019
09354de9-6ec7-4526-98ef-d3dcb8eb989f,3.851663184250033,2020
34f58834-7182-4743-b871-9505cfacf27c,3.8515260685037633,2021
e521541a-ffab-4708-9d16-00a507f82b77,3.851336116754053,2022
e63429ec-4d31-441a-ac82-bace733ecb0d,3.8501969836149956,2023
d3e1e6fd-e018-4af5-b954-64257660395d,3.8501667618063258,2024
de338adf-d577-4cab-aa52-1d3a14d48328,3.850099169910103,2025
6ee45927-0419-4e21-97e9-fe780e1691b3,3.8498122967497728,2026
423bc700-f288-41ce-b96b-eb86f3f92acb,3.849620563468567,2027
567bb8f1-ec87-4b84-85a5-d96560800aea,3.8493435160168574,2028
46d720db-956b-489b-a2c1-e23cc72dac06,3.8484625812366735,2029
04a94b5e-2f0f-4c77-8443-be98f9736239,3.8484594614510383,2030
61e8ead5-31a6-4cfb-8288-fcc8cfe09917,3.848381201646931,2031
3c1dfb39-6713-4910-8191-fbba8493e909,3.848347231972179,2032
5a5f54fa-9c79-4242-a32b-29d8d6403431,3.8479252632922902,2033
d4f6c731-4bfc-4238-9210-325ff2e4902a,3.8478751636579482,2034
c54f2814-3b47-4a14-9f0c-976e39b39354,3.8476263881342505,2035
6c48e704-c140-4fbd-86c6-5213944cfa3b,3.8472921623770495,2036
93cba49b-40a8-4f9e-acb4-ce234915052b,3.847103778161244,2037
8c2ae166-ca79-477c-8b48-8934383a3d29,3.8465564959298297,2038
936f70f5-6158-4378-adca-2672a4617935,3.845721810846235,2039
98dae383-74ed-4757-9066-afcecbafe059,3.8454285111024706,2040
5f5e8657-0e0c-4a8c-8d74-77b75c32c03d,3.845146622335727,2041
422caa78-701b-4e69-95fe-2b265b573d27,3.8449739783765735,2042
c098e085-a6b9-433e-8925-3cd06a34e94c,3.844320397682624,2043
981f867e-0496-4da6-a1c6-b940288ed247,3.8441376722024994,2044
3cf70115-179c-4adc-af4b-1d4b8c3c4cd9,3.8440464163195376,2045
4cbb1cee-52fd-492c-b8d0-657f3c792318,3.8439259304718614,2046
cf353c21-6ac1-4ec8-a3e8-0d593d0f49a5,3.84361819491791,2047
bf45a800-701b-44f1-b5a3-3a8ec021cdec,3.843133163382942,2048
dfa1e572-71f4-4571-983a-bf0cd58231ff,3.8430852337146955,2049
ff846e99-7fdd-4567-b358-e0c8ad9a5d28,3.8430778428578023,2050
6ed1185e-9519-4b65-bc99-6eba7df3d539,3.8429693042218207,2051
a81abf4f-6781-43a4-9ac1-11ee1c8a6847,3.842962549624036,2052
32727ea4-22b2-4c6f-a2ce-9b774ed6a4a2,3.842606869444699,2053
2ba04cfe-1e9a-47bc-8e9f-48e1e344e968,3.8422816331001934,2054
f6ca3db1-8000-4c1d-874f-2f0b7bb73a55,3.8422719153241998,2055
8d7a2258-3fb1-4848-aa20-06119a32fdfe,3.8420809137413845,2056
46c19582-0c7b-4fcc-a4fe-113cdf9c36aa,3.8420117386407937,2057
c881a236-b64c-4103-a0dc-af05d7a51114,3.841904050445065,2058
36a144f8-ba33-4b28-aa88-eb8936166875,3.841762695075764,2059
43dcd758-83b8-436f-8fcf-e7c969e3decf,3.841110132353968,2060
a6570760-0867-4377-978a-9872cd73ced8,3.8409828598944373,2061
8c9df000-d13b-419b-8232-c11f14490545,3.840237145274212,2062
f104f1ff-b5a0-46c3-9111-9c634ea4304d,3.8401738113398736,2063
b50098d3-8aa9-4471-b052-5ab607b9bdc9,3.839775022522643,2064
5be71dd6-f1cb-427e-a12c-d0d2782711f5,3.838992387083402,2065
38a72477-c593-4494-89b9-b4fbbe9630f6,3.8388946023097565,2066
536a022c-8353-4d9e-bb15-771977543ded,3.8388818764891295,2067
86916eb2-6819-43a3-b13a-b254a8d969ca,3.8386258233629595,2068
946150e5-149a-4a96-9006-5c737b7c5d28,3.8384505388253154,2069
758f6e52-9083-47b3-9ab4-4a522fe75e9a,3.8381753052012417,2070
9a96f765-8da7-4d54-af0a-79c017f3e0da,3.8381372502409836,2071
5fa6c013-981e-4c3c-99ce-710da6befa67,3.8379909085297688,2072
c6c4ae37-553b-44a8-b52a-fab828073886,3.8378901111486847,2073
a2ab71c8-f056-4eb4-9ba3-826c31c1fcdd,3.837759223690928,2074
c65cbb5e-2dcf-44a9-a23c-29d0298dd93c,3.837596405686986,2075
ddca97ea-58d3-4999-8c89-3ad3d464790a,3.8367645400456474,2076
039617e4-e869-4815-a766-20eb412e1015,3.8359949446740416,2077
fbeb0971-e73e-4ee9-9bb8-849a83d594a0,3.835844252592208,2078
7a01ae0a-652c-447d-951c-a028a52eeca4,3.835320628472881,2079
d4629373-27ef-4859-bc3a-2d65e19390bc,3.835185078644559,2080
fe21fb16-80f9-4eac-a4e9-d5139c7f6f71,3.834975266085816,2081
b502a7d1-08d8-4823-9318-408a446b0928,3.8347786923271334,2082
9044bae3-fe44-4b31-a8d7-90bf73de3583,3.8345525213453118,2083
eb5464d5-689b-4866-a241-8520a5e07d94,3.8345041063192973,2084
53a75fc9-c5b4-4c06-9003-cf575b5e4190,3.834292880309754,2085
607c8f41-6694-4f5a-9a5b-b8422acbf012,3.834134792278959,2086
67a6bb55-9e80-4809-8160-ecdd939d64a5,3.8337092054501607,2087
f58fbf2d-3b8c-446d-958c-f8387362e1e1,3.833253321884645,2088
9cff202d-30be-415f-9d18-9e26ced02988,3.833031319171649,2089
68f7b050-f2bd-4e90-a22a-31e7f76acc47,3.832862441618649,2090
7b5e4932-1b0b-4fc9-bee0-0869c069b1cf,3.8324311833875804,2091
d16419be-3b9a-4bdf-8731-f4320b9fb59c,3.8323789551627896,2092
bd45121c-ec02-4667-b41f-547cbe4af045,3.8319185772147306,2093
3f266642-eb75-4920-9a30-84d3209e3729,3.8318954413056856,2094
0003a45e-63b5-4b27-aa76-011e20a378d0,3.831793933427965,2095
296a5d76-1f70-448a-8dba-f7b7b3e745f7,3.830185715776361,2096
24b659ce-333d-4c91-8da7-8a05302368a1,3.830074099973386,2097
ce2d212d-b2e6-4c81-97ef-2ffd82f66908,3.829706504864558,2098
b3889785-d1aa-4127-9f93-7cb35bbc590e,3.8297052080040146,2099
dd8e6216-a1a2-4476-860a-1443b2ec43e6,3.8297002306648524,2100
c4308645-be54-495c-b66a-674eddfb5e0f,3.8289691805602164,2101
f93a15b2-a9ea-4322-90d7-b342bc10f639,3.8287708215524687,2102
48b79665-4537-40b0-a1a6-15cbfbb69cd1,3.8280318293341584,2103
92f0343f-b6ee-4362-8a5d-d33823475638,3.8279083040535755,2104
ef369a18-0aa6-4ea4-bcb8-667d080ae105,3.827666382313141,2105
2938d588-1b98-4174-8df3-2474a43297b0,3.827654059738525,2106
72eedaab-da48-48f2-a6fe-b740e7ceced1,3.8274204772151283,2107
7e934457-5144-4ca8-a776-2028cdee32d0,3.827247611489331,2108
c5ca7682-df52-4e9f-8026-6c4d77334ea0,3.827037728397754,2109
9f306563-ec66-4e6f-b25d-28d97fb0086d,3.8266892486726176,2110
b6f6fc69-bf43-4cf0-8aec-076246a5605d,3.825909769829428,2111
95a59de1-5665-4098-9cb4-f482e30650fd,3.825837107263834,2112
29e76312-55bd-436c-832f-548c75751f68,3.8256961257021485,2113
a6ea1d50-e71f-48ca-86da-c1e797ff4d63,3.8254207417653703,2114
c01a7bd7-a624-4b82-a110-9429c5f048ba,3.82512735433713,2115
3e0f6b84-78ce-4dce-92c1-296d19c2b17a,3.8244895523598963,2116
4c0513ae-f05f-47ce-a7f6-1da12656bc3c,3.824030762068467,2117
3a2a0fbf-cec7-44db-8a8e-582264baaa58,3.823846754431031,2118
30f9025b-50ec-40a7-a8fb-a79c4befbb98,3.823256771131406,2119
c47fd5e9-e8c1-4281-860e-294b9e74cc6a,3.8221020439816793,2120
a4264377-cdb7-4081-aec0-e899e1b620c5,3.8215332802694464,2121
